FLIGHT_NUMBER,TAIL_NUMBER,AIRLINE
1491,N7722B,WN
714,N831UA,UA
506,N665DN,DL
1228,N493AA,AA
2563,N978AT,DL
1092,N413WN,WN
6283,N986CA,OO
2547,N901EV,EV
5072,N933EV,EV
793,N758US,US
5470,N137EV,EV
3499,N907MQ,MQ
1296,N76528,UA
2349,N667DN,DL
1092,N14242,UA
2394,N3EFAA,AA
4929,N365SW,WN
2163,N3755D,DL
3594,N219WN,WN
1996,N573UW,US
992,N519NK,NK
1826,N182UW,US
2393,N3GEAA,AA
1992,N587NW,DL
629,N302AS,AS
43,N3759,DL
1049,N752SW,WN
764,N332NB,DL
1328,N471AA,AA
1298,N589NW,DL
4976,N109SY,OO
3492,N947SW,OO
3662,N909MQ,MQ
295,N778SW,WN
403,N912FR,F9
93,N3HGAA,AA
4492,N14153,EV
4740,N14907,EV
2597,N868CA,OO
2417,N509JB,B6
2042,N940DL,DL
1153,N76528,UA
4659,N7815L,WN
2036,N704US,US
1302,N808DN,DL
4999,N915SW,OO
599,N913WN,WN
1091,N76517,UA
1804,N589NW,DL
326,N483AA,AA
1452,N3GBAA,AA
1768,N827AW,US
5919,N11113,EV
442,N553AS,AS
347,N629JB,B6
2602,N893AT,DL
4834,N448SW,OO
661,N953FR,F9
5528,N927SW,OO
504,N892AT,DL
639,N912UY,US
1470,N914DE,DL
991,N212WN,WN
4471,N7714B,WN
151,N3AUAA,AA
4021,N409WN,WN
1521,N899AT,DL
697,N597UA,UA
1344,N213FR,F9
1521,N933DN,DL
659,N788AS,AS
4404,N12126,EV
4655,N262WN,WN
2636,N955SW,OO
1822,N588JB,B6
1519,N315US,DL
2783,N384SW,WN
2583,N492SW,OO
2053,N128UW,US
751,N632VA,VX
3361,N814MQ,MQ
1724,N946UW,US
1053,N4XFAA,AA
159,N925WN,WN
4741,N548CA,OO
700,N624SW,WN
608,N388SW,WN
2157,N727TW,DL
1629,N338NW,DL
1844,N561UW,US
1214,N8626B,WN
1041,N569JB,B6
319,N446UA,UA
250,N460UA,UA
2362,N712TW,DL
2082,N956UW,US
1259,N33203,UA
1639,N612SW,WN
921,N521JB,B6
468,N417UA,UA
749,N292JB,B6
1594,N33266,UA
895,N177US,US
2429,N998AT,DL
464,N490UA,UA
2215,N370NW,DL
590,N557WN,WN
29,N388HA,HA
7,N7752B,WN
2599,N224WN,WN
1953,N329NB,DL
3381,N657MQ,MQ
745,N464AS,AS
4386,N440LV,WN
689,N626AS,AS
291,N3BXAA,AA
1815,N620SW,WN
4220,N26549,EV
332,N443WN,WN
4751,N958WN,WN
525,N538UW,US
2842,N767SW,WN
4707,N453SW,OO
5458,N295SW,OO
1936,N969AT,DL
5663,N13550,EV
1554,N3DEAA,AA
2035,N238JB,B6
3467,N216AG,OO
