FLIGHT_NUMBER,SCHEDULED_ARRIVAL,SCHEDULED_DEPARTURE,DESTINATION_AIRPORT,ORIGIN_AIRPORT
1942,2355,2205,PHX,DEN
1586,2243,1930,MCO,IAH
355,42,1634,IAD,SFO
1892,1442,1200,DTW,TPA
1113,1136,939,ATL,ORF
5551,1514,1454,JAN,ATL
1659,844,700,ORD,LGA
206,541,505,OGG,HNL
1106,1411,825,MSP,SFO
2178,1025,925,TPA,FLL
1484,1210,1105,DFW,AUS
602,524,2245,BOS,PHX
784,1013,830,MSP,ATL
383,1220,1055,SJC,LAS
3133,1820,1715,EVV,ORD
7370,618,505,MSP,BJI
1106,925,800,STL,TPA
532,1718,1351,ORD,DEN
5477,1623,1537,CLD,LAX
5238,1433,1233,ASE,ORD
1506,1047,751,MCO,EWR
1226,1705,1020,FNT,LAS
318,1756,1515,MSP,RSW
3485,1200,930,BWI,FLL
4834,1950,1840,LAS,SAN
485,1540,1440,STL,CLT
2416,744,615,DTW,PIT
739,1640,1445,DEN,BNA
2901,1915,1800,DFW,XNA
1293,1423,1250,SAN,SFO
639,1615,1508,ORD,ATL
866,1812,1600,ATL,BNA
1553,2013,1644,SJU,FLL
688,500,2250,PHL,PHX
1046,1025,900,MCI,DFW
1654,2046,1700,BWI,DFW
2617,2045,1935,LAX,FAT
1969,744,600,ATL,IND
4651,1905,1720,SAV,IAD
512,1438,1110,FLL,AUS
4672,1005,710,SLC,BUR
5426,2002,1857,SBP,SFO
1715,1025,920,LAS,OMA
1028,924,555,ORD,DEN
3391,2137,1938,CMH,LGA
1742,2130,1850,RDU,STL
19,1205,1100,HOU,DAL
412,1922,1335,DTW,PHX
703,2019,1520,SJU,JFK
1347,1630,1440,DSM,DFW
4564,1908,1750,DCA,EWR
2705,1341,1255,PHX,FLG
4269,1838,1643,IAH,CLT
5990,1640,1457,ORD,LNK
723,1807,1655,DEN,DFW
221,1915,1630,RSW,BWI
1610,1116,610,DTW,DEN
5914,909,800,DAL,IAH
821,2000,1750,LAX,MSP
392,1042,905,LAS,SFO
5366,730,652,JMS,DVL
2092,1903,1615,CLT,MSY
464,1810,1650,BNA,PNS
3754,925,600,DEN,LAX
5,1740,1305,HNL,DFW
2680,1507,1235,PHX,SBA
5210,858,630,ATL,BTR
315,1515,1438,HNL,OGG
2442,2055,1605,ATL,DEN
1670,1124,1004,ATL,CHS
1859,1850,1515,DEN,SEA
2546,1738,1645,SAN,SLC
3379,1525,1510,LAS,TUS
3383,1235,950,ROC,MCO
991,1410,1255,PHX,ELP
70,1205,705,DFW,SAN
1981,1452,1250,PHL,ATL
1123,1917,1747,LAX,DEN
5306,1955,1836,ATL,MYR
4567,1045,925,SAN,SJC
1098,2118,2000,BDL,DCA
636,1756,1750,LAS,PHX
1950,1052,755,FLL,PHL
799,2046,1805,MCO,PHL
4976,1820,1700,SFO,MTJ
856,2100,1946,DCA,CLT
1543,1200,950,ALB,ATL
3614,1520,1430,DFW,ABI
1712,1454,1240,PHX,SNA
2422,1053,930,ATL,CLT
1808,1444,1305,TPA,CLT
3297,1355,1120,SAN,BNA
1916,1820,1330,ATL,DEN
153,740,545,MDW,PVD
601,909,601,FLL,JFK
494,1610,1330,SAN,SEA
2575,2121,2000,IND,DTW
30,1605,750,BOS,PDX
2495,1150,1020,RNO,DFW
1288,1833,1620,DTW,BDL
1835,1242,949,TPA,PHL
5521,1731,1306,ORD,BOI
4634,1404,1145,SLC,IAH
5044,1111,720,DTW,AUS
1656,2257,2144,LEX,ATL
4653,1902,1725,MOT,MSP
1767,1118,923,FNT,ATL
1299,1529,1250,MIA,DCA
3274,1530,1405,HOU,OKC
4163,2010,1855,SAN,SJC
654,1713,1330,PHX,JFK
362,2320,2210,ROC,BWI
1383,835,725,IAH,DFW
3925,2035,1920,OAK,BUR
426,1855,1630,IND,MCO
5478,1017,630,LGA,MCI
4138,1630,1510,HOU,MSY
581,1032,735,SAN,PHL
834,1959,1220,PDX,HNL
1393,1535,1215,DFW,SJU
1958,824,700,SLC,JAC
6521,928,800,SAN,DEN
3267,1343,1221,STL,IAD
672,2132,1845,LGA,FLL
2981,1043,750,RIC,ORD
374,1525,1225,LGA,ORD
67,1908,1829,JNU,SIT
977,910,600,ATL,ORD
4953,1805,1653,GNV,ATL
4662,1105,811,CLT,ORD
277,1720,1445,ROC,MDW
1582,2055,1744,ATL,OMA
653,2212,1815,ANC,PHX
2799,1345,1210,DCA,ATL
5543,648,545,ATL,CAE
4990,1654,1511,IAH,CVG
1925,913,725,BWI,ATL
2684,2014,1805,PHX,PSP
